XLB,XLE,XLF,XLI,XLK,XLP,XLU,XLV,XLY
25.96875,26.5625,18.58245277404785,28.84375,55.4375,22.75,27.453125,30.296875,30.125
25.71875,26.0625,17.770105361938477,28.046875,52.625,22.109375,26.625,29.609375,29.21875
26.78125,26.75,17.630483627319336,27.921875,51.84375,22.5,27.296875,29.34375,28.859375
27.46875,27.78125,18.404752731323242,28.296875,50.125,22.921875,27.25,29.4375,29.1875
27.453125,28.078125,18.709383010864258,29.375,51.0,24.375,27.484375,29.796875,30.5625
27.359375,27.84375,18.379365921020508,29.375,52.9375,23.828125,27.578125,32.84375,30.40625
27.03125,27.875,18.074735641479492,29.0,51.4375,23.828125,27.28125,31.96875,30.234375
26.640625,27.75,18.430137634277344,28.65625,51.21875,23.953125,27.0,31.4375,30.0625
26.75,28.234375,18.98862648010254,29.203125,51.6875,24.078125,26.75,32.375,30.21875
26.5625,28.0625,19.432880401611328,29.0,52.875,24.15625,26.96875,32.09375,30.140625
25.921875,28.40625,18.785539627075195,28.96875,53.15625,23.75,26.859375,31.5,29.96875
25.421875,28.3125,18.722076416015625,28.875,53.25,23.921875,26.875,32.25,29.90625
24.75,28.3125,18.379365921020508,28.6875,53.5625,23.59375,27.0,32.0,29.5
24.859375,29.09375,18.150894165039062,28.328125,53.625,23.328125,27.875,31.9375,28.890625
24.203125,28.0625,17.820877075195312,27.515625,51.875,22.65625,27.5,30.984375,27.8125
23.75,28.0,18.01127052307129,27.359375,52.984375,22.375,26.859375,31.203125,27.984375
23.75,27.5625,18.683996200561523,27.578125,51.25,22.578125,26.734375,31.0625,28.1875
23.875,27.0,18.887083053588867,27.734375,50.75,23.0,26.5625,30.875,28.109375
23.46875,26.6875,18.22705078125,27.0,48.9375,22.8125,26.421875,30.25,27.0
23.328125,27.3125,18.73476791381836,27.1875,50.5625,23.234375,27.640625,30.109375,27.203125
23.75,27.25,18.83631134033203,27.0,51.625,23.0,27.4375,30.5,28.1875
23.859375,27.421875,18.645917892456055,27.015625,52.0,23.046875,27.296875,31.25,28.0
23.453125,27.09375,18.531681060791016,27.0,53.5,22.734375,27.25,31.53125,28.109375
23.421875,26.3125,18.34128761291504,27.109375,54.125,22.71875,27.109375,31.640625,28.0625
22.96875,26.609375,18.150894165039062,26.640625,54.75,22.6875,27.03125,31.125,27.46875
22.90625,26.375,18.353981018066406,26.75,55.25,22.96875,27.09375,31.46875,28.09375
22.453125,25.5,17.922420501708984,26.46875,54.5625,22.765625,27.09375,30.90625,27.625
22.265625,26.03125,17.427396774291992,26.015625,55.859375,22.0,26.703125,30.640625,27.375
21.71875,25.71875,17.46547508239746,25.46875,54.375,21.578125,26.234375,30.65625,26.984375
22.078125,26.125,17.61779022216797,25.875,54.40625,21.6875,26.265625,30.09375,27.125
23.03125,27.21875,17.64317512512207,26.328125,54.5625,22.171875,26.203125,29.859375,27.1875
22.5,27.34375,17.275081634521484,26.265625,54.28125,21.859375,26.09375,29.015625,26.125
22.453125,27.3125,17.059301376342773,26.375,55.5,21.53125,25.9375,29.0,25.375
21.765625,26.515625,16.450040817260742,25.796875,53.625,21.28125,24.984375,28.203125,25.0
22.453125,26.28125,16.60235595703125,26.21875,53.5,21.625,24.890625,28.0,25.0625
22.203125,25.59375,16.538890838623047,26.015625,55.125,21.15625,24.375,28.4375,24.984375
21.40625,25.3125,16.196182250976562,25.78125,55.8125,20.71875,23.5625,28.21875,24.1875
21.0625,24.8125,16.09463882446289,25.328125,55.28125,20.203125,23.4375,27.34375,24.28125
21.125,25.5625,16.615049362182617,25.40625,54.625,20.59375,24.109375,27.828125,25.15625
20.984375,26.15625,16.729284286499023,25.6875,55.875,20.515625,24.28125,28.140625,25.6875
20.765625,26.8125,16.9577579498291,25.546875,56.4375,20.328125,25.34375,28.375,25.390625
20.3125,27.3125,16.85621452331543,25.640625,57.0,20.375,26.0,28.25,25.359375
20.96875,26.875,17.008529663085938,26.34375,58.578125,20.265625,26.234375,28.640625,25.828125
20.46875,26.71875,16.843521118164062,26.234375,58.484375,19.78125,25.5,28.078125,25.21875
19.8125,28.5625,16.335803985595703,25.1875,56.875,18.71875,25.203125,27.5625,24.515625
20.234375,28.09375,16.145410537719727,25.453125,57.875,19.296875,25.375,27.421875,24.8125
20.203125,28.125,16.23426055908203,25.71875,59.625,19.8125,25.578125,28.0625,25.3125
20.375,27.75,16.285032272338867,25.78125,59.75,19.578125,25.578125,27.828125,24.96875
20.6875,27.34375,16.450040817260742,25.390625,58.875,19.265625,25.65625,27.625,24.765625
20.328125,27.6875,16.38657569885254,25.25,57.53125,19.15625,25.484375,27.703125,24.8125
21.546875,27.5625,17.389318466186523,26.265625,56.53125,20.375,25.625,27.84375,26.3125
22.8125,28.75,18.887083053588867,27.6875,58.5,21.25,26.625,29.28125,28.25
22.0,27.78125,18.823619842529297,27.59375,59.875,21.09375,26.640625,29.3125,28.265625
22.265625,27.34375,18.468217849731445,27.75,59.625,20.90625,26.53125,29.875,28.0
22.53125,28.21875,19.140941619873047,28.34375,61.1875,21.296875,26.359375,30.0625,28.3125
21.953125,28.0,19.305950164794922,28.21875,62.25,21.125,25.75,30.828125,28.1875
22.625,27.96875,19.978675842285156,28.875,63.4375,20.953125,26.1875,30.953125,28.265625
22.515625,28.03125,20.207149505615234,29.046875,63.984375,20.578125,25.9375,31.21875,28.359375
22.421875,28.125,19.547115325927734,28.6875,64.5,20.3125,26.296875,31.0,28.28125
22.0,28.0,19.699430465698242,28.609375,62.9375,20.546875,26.171875,31.03125,28.375
22.453125,29.46875,19.547115325927734,28.96875,61.09375,21.046875,26.640625,30.5625,28.9375
23.0625,29.46875,19.585195541381836,29.15625,59.4375,21.328125,26.578125,30.125,29.578125
23.046875,29.3125,19.71212387084961,29.203125,60.5625,21.21875,26.734375,30.671875,29.265625
23.796875,29.8125,20.664094924926758,29.328125,58.0,22.1875,26.90625,30.65625,30.140625
23.578125,29.4375,19.839054107666016,29.0,57.4375,22.8125,27.28125,30.3125,29.765625
23.390625,28.5625,19.686737060546875,28.890625,57.8125,22.5,27.640625,30.109375,29.8125
23.25,29.3125,19.902517318725586,29.140625,58.5625,22.09375,27.8125,30.6875,30.125
22.875,28.859375,19.4963436126709,29.578125,60.5625,21.8125,27.734375,30.765625,30.125
23.4375,28.4375,20.054832458496094,29.625,58.375,22.359375,27.671875,30.5625,30.828125
24.0,28.9375,20.308692932128906,29.984375,56.9375,22.75,28.390625,30.828125,31.046875
24.625,29.1875,20.39754295349121,29.453125,53.25,23.015625,28.640625,30.265625,30.984375
23.9375,29.125,19.864439010620117,29.53125,52.234375,22.859375,28.671875,29.5,30.40625
22.625,28.5,18.252437591552734,27.59375,49.5,21.734375,27.625,27.71875,28.0
22.65625,27.8125,18.404752731323242,28.265625,52.1875,22.359375,27.203125,27.953125,28.03125
22.234375,27.953125,19.140941619873047,28.375,55.15625,22.5,27.28125,28.71875,28.625
21.953125,28.5625,18.887083053588867,28.484375,53.34375,22.765625,27.53125,29.46875,28.84375
22.5,28.609375,19.24248504638672,28.71875,52.875,22.75,27.625,29.59375,29.21875
22.546875,28.921875,19.699430465698242,28.75,51.25,23.375,28.375,29.171875,29.53125
22.578125,28.96875,20.308692932128906,30.25,54.21875,23.265625,29.21875,29.90625,30.0625
22.1875,29.34375,19.902517318725586,29.796875,53.1875,23.0,29.15625,30.21875,30.03125
22.109375,29.75,19.4963436126709,29.828125,54.84375,23.0,28.5,30.03125,29.40625
22.28125,28.875,19.902517318725586,29.625,55.0,22.34375,28.484375,30.3125,28.65625
22.25,29.34375,19.45826530456543,30.3125,55.78125,22.625,28.484375,30.40625,29.53125
22.9375,29.765625,19.267871856689453,30.0,54.75,22.6875,27.453125,29.796875,29.328125
22.5625,29.0,18.925161361694336,29.0,52.375,22.6875,27.546875,28.96875,27.9375
22.796875,29.75,18.633224487304688,29.046875,52.0,22.6875,27.5,28.875,27.484375
22.78125,30.0625,18.760154724121094,29.5625,53.421875,23.21875,27.5625,28.84375,27.828125
22.65625,30.4375,19.12824821472168,29.546875,51.53125,23.703125,27.75,28.90625,27.75
